"Reference","Value","Datasheet","Footprint","Qty","DNP","Description","LCSC"
"BT2","3.7V","~","PicofoxLib:JST PH 2 Horizontal","1","","Single-cell battery","C295747"
"C1,C22,C24","10nF","~","Capacitor_SMD:C_0402_1005Metric","3","","Unpolarized capacitor, small symbol","C3834692"
"C2,C3","15pF","~","Capacitor_SMD:C_0402_1005Metric","2","","","C1548"
"C4,C23,C68","100pF","~","Capacitor_SMD:C_0402_1005Metric","3","","Unpolarized capacitor, small symbol","C1546"
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C17,C31,C33,C67","100nF","~","Capacitor_SMD:C_0402_1005Metric","14","","Unpolarized capacitor, small symbol","C307331"
"C8,C10","1uF","~","Capacitor_SMD:C_0402_1005Metric","2","","","C52923"
"C18,C21,C25,C28","24pF","~","Capacitor_SMD:C_0402_1005Metric","4","","Unpolarized capacitor, small symbol","C1864480"
"C19,C20,C26,C27","43pF","~","Capacitor_SMD:C_0402_1005Metric","4","","Unpolarized capacitor, small symbol","C415393"
"C29,C30,C32,C40,C58","10uF","~","Capacitor_SMD:C_0603_1608Metric","5","","","C96446"
"D1","H5VU06B","~","PicofoxLib:DFN0603-2L","1","","Bidirectional transient-voltage-suppression diode, small symbol","C20615780"
"D2,D4,D5","LED","~","PicofoxLib:LED 1206 Side View","3","","Light emitting diode","C375479"
"D3","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Diode_SMD:D_SOD-323","1","","75V 0.15A Fast switching Diode, SOD-323","C2128"
"FB1,FB2,FB3","600","~","Inductor_SMD:L_0402_1005Metric","3","","Ferrite bead, small symbol","C76886"
"J4","Conn_Coaxial_Small","~","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","1","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","C5301850"
"J5","USB-TYPE-C-018 (DEALON)","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","PicofoxLib:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","1","","USB 2.0-only 16P Type-C Receptacle connector","C2927038"
"L1,L3,L4,L6","68nH","~","Inductor_SMD:L_0402_1005Metric","4","","Inductor, small symbol","C7427064"
"L2,L5","75nH","~","Inductor_SMD:L_0402_1005Metric","2","","Murata LQW15AW75NG80D",""
"L7","270nH","~","Inductor_SMD:L_0402_1005Metric","1","","Inductor","C22400372"
"Q1","AO3407A","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","Package_TO_SOT_SMD:SOT-23","1","","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","C7436553"
"R1","100KR","~","Resistor_SMD:R_0402_1005Metric","1","","Resistor","C25741"
"R2,R8,R37,R38","10KR","~","Resistor_SMD:R_0402_1005Metric","4","","Resistor","C25744"
"R3,R4","33R","~","Resistor_SMD:R_0402_1005Metric","2","","","C25105"
"R5,R6,R7,R36","1KR","~","Resistor_SMD:R_0402_1005Metric","4","","","C11702"
"R9,R10","2.2KR","~","Resistor_SMD:R_0402_1005Metric","2","","Resistor","C25879"
"R12,R40","120R","~","Resistor_SMD:R_0402_1005Metric","2","","Resistor","C25079"
"R13,R14,R39","294R","~","Resistor_SMD:R_0402_1005Metric","3","","Resistor","C852689"
"R15","17.4R","~","Resistor_SMD:R_0402_1005Metric","1","","Resistor - Thin Film","C284383"
"R27,R28","5.11KR","~","Resistor_SMD:R_0402_1005Metric","2","","","C5126228"
"SW1,SW2","~","~","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","2","","Push button switch, generic, two pins","C720477"
"SW3","SK-12D15-G030","~","PicofoxLib:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1","","Switch, single pole double throw","C7544904"
"U1","BVA1761","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","1","","Berex BVA1761","C38240054"
"U2","W25Q128JVS","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","1","","","C97521"
"U3","RP2040","","RP2040_minimal:RP2040-QFN-56","1","","","C2040"
"U4","Si5351A-B-GT","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","Package_SO:MSOP-10_3x3mm_P0.5mm","1","","I2C Programmable Any-Frequency CMOS Clock Generator, MSOP-8","C504891"
"U15","USBLC6-2SC6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-23-6","1","","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","C5180249"
